stop_name,time_1,time_2,time_3,time_4,time_5,time_6,route
軽井沢駅,07:40:00,08:55:00,10:55:00,13:20:00,15:15:00,17:00:00,外回り
新軽井沢,07:41:00,08:56:00,10:56:00,13:21:00,15:16:00,17:01:00,外回り
入山峠入り口,07:43:00,08:58:00,10:58:00,13:23:00,15:18:00,17:03:00,外回り
成沢,07:43:00,08:58:00,10:58:00,13:23:00,15:18:00,17:03:00,外回り
南軽井沢交差点,07:44:00,08:59:00,10:59:00,13:24:00,15:19:00,17:04:00,外回り
柳橋,07:45:00,09:00:00,11:00:00,13:25:00,15:20:00,17:05:00,外回り
南軽井沢,07:45:00,09:00:00,11:00:00,13:25:00,15:20:00,17:05:00,外回り
軽井沢駅72ゴルフ,07:46:00,09:01:00,11:01:00,13:26:00,15:21:00,17:06:00,外回り
馬越,07:46:00,09:01:00,11:01:00,13:26:00,15:21:00,17:06:00,外回り
御師たち山下,07:47:00,09:02:00,11:02:00,13:27:00,15:22:00,17:07:00,外回り
治安のいしずえ前,07:48:00,09:03:00,11:03:00,13:28:00,15:23:00,17:08:00,外回り
ニュータウン入り口,07:51:00,09:06:00,11:06:00,13:31:00,15:26:00,17:11:00,外回り
馬取,07:52:00,09:07:00,11:07:00,13:32:00,15:27:00,17:12:00,外回り
上発地,07:54:00,09:09:00,11:09:00,13:34:00,15:29:00,17:14:00,外回り
発地橋,07:54:00,09:09:00,11:09:00,13:34:00,15:29:00,17:14:00,外回り
下発地,07:55:00,09:10:00,11:10:00,13:35:00,15:30:00,17:15:00,外回り
ほっち交流館,07:57:00,09:12:00,11:12:00,13:37:00,15:32:00,17:17:00,外回り
下発地入口,07:57:00,09:12:00,11:12:00,13:37:00,15:32:00,17:17:00,外回り
南保育園前,07:58:00,09:13:00,11:13:00,13:38:00,15:33:00,17:18:00,外回り
軽井沢発地市庭,07:59:00,09:14:00,11:14:00,13:39:00,15:34:00,17:19:00,外回り
小倉の里,08:00:00,09:15:00,11:15:00,13:40:00,15:35:00,17:20:00,外回り
