route	stop_order	stop_name	time_1	time_2	time_3	time_4	time_5	time_9	time_10	time_11	time_12	time_13	time_14	time_8	time_6	time_7	time_15	time_16	time_18	time_19	time_20	
東・南廻り線	1	中軽井沢駅	8:24:00	9:39	11:39	14:04	15:59	17:44														
東・南廻り線	2	軽井沢病院	8:28:00	9:43	11:43	14:08	16:03	17:48														
東・南廻り線	3	中学校前	8:29:00	9:44	11:44	14:09	16:04	17:49														
東・南廻り線	4	図書館前	8:30:00	9:45	11:45	14:10	16:05	17:50														
東・南廻り線	5	離山	8:30:00	9:45	11:45	14:10		17:50														
東・南廻り線	6	高校前					16:07															
東・南廻り線	7	高校東					16:07															
東・南廻り線	8	泉の里	8:31:00	9:46	11:46	14:11	16:08	17:51														
東・南廻り線	9	東部小学校	8:32:00	9:47	11:47	14:12	16:09	17:52														
東・南廻り線	10	野沢原	8:32:00	9:47	11:47	14:12	16:09	17:52														
東・南廻り線	11	六本辻・雲場池	8:33:00	9:48	11:48	14:13	16:10	17:53														
東・南廻り線	12	旧軽井沢	8:35:00	9:50	11:50	14:15	16:12	17:55														
東・南廻り線	13	中部電力	8:35:00	9:50	11:50	14:15	16:12	17:55														
東・南廻り線	14	新道	8:36:00	9:51	11:51	14:16	16:13	17:56														
東・南廻り線	15	軽井沢駅	8:40:00	9:55	11:55	14:20	16:17	18:00														
東・南廻り線	1	中軽井沢駅	8:22:00	9:36	11:56	13:11	14:36	18:36														
東・南廻り線	2	JA軽井沢支所前	8:23:00	9:37	11:57	13:12	14:37	18:37														
東・南廻り線	23	島井原団地前（ﾂﾙﾔ前）	8:25:00	9:39	11:59	13:14	14:39	18:39														
東・南廻り線	4	島井原西	8:25:00	9:39	11:59	13:14	14:39	18:39														
東・南廻り線	5	釜の橋	8:26:00	9:40	12:00	13:15	14:40	18:40														
東・南廻り線	6	杉瓜入口	8:27:00	9:41	12:01	13:16	14:41	18:41														
東・南廻り線	7	風越団地	8:28:00	9:42	12:02	13:17	14:42	18:42														
東・南廻り線	8	軽井沢発地市庭	8:37:00	9:51	12:11	13:26	14:51	18:51														
東・南廻り線	9	風越公園	8:38:00	9:52	12:12	13:27	14:52	18:52														
東・南廻り線	10	小倉の里	8:38:00	9:52	12:12	13:27	14:52	18:52														
東・南廻り線	11	南保育園前	8:39:00	9:53	12:13	13:28	14:53	18:53														
東・南廻り線	12	下発地入口	8:40:00	9:54	12:14	13:29	14:54	18:54														
東・南廻り線	13	ほっち交流館	8:41:00	9:55	12:15	13:30	14:55	18:55														
東・南廻り線	14	下発地	8:42:00	9:56	12:16	13:31	14:56	18:56														
東・南廻り線	15	発地橋	8:43:00	9:57	12:17	13:32	14:57	18:57														
東・南廻り線	16	上発地	8:45:00	9:59	12:19	13:34	14:59	18:59														
東・南廻り線	17	馬取	8:50:00	10:04	12:24	13:39	15:04	19:04														
東・南廻り線	18	ニュータウン入り口	8:50:00	10:04	12:24	13:39	15:04	19:04														
東・南廻り線	19	治安のいしずえ前	8:51:00	10:05	12:25	13:40	15:05	19:05														
東・南廻り線	20	押立山下	8:52:00	10:06	12:26	13:41	15:06	19:06														
東・南廻り線	21	馬越	8:52:00	10:06	12:26	13:41	15:06	19:06														
